week,date,time,home_team,away_team,home_team_score,away_team_score,home_team_logo,away_team_logo
Week 1,26/07,20:45,FC Bruges,KV Malines,1,1,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 1,27/07,16:00,FCV Dender EH,Union SG,0,0,https://static.sportid.be/images/soccer/teams/dender.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 1,27/07,18:15,Beerschot,OH Louvain,0,0,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 1,27/07,20:45,Anderlecht,STVV,1,0,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 1,28/07,13:30,KRC Genk,Standard,0,0,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 1,28/07,16:00,KV Courtrai,La Gantoise,0,1,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 1,28/07,18:30,Charleroi,Antwerp,0,1,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 1,28/07,19:15,Westerlo,Cercle de Bruges,3,0,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 2,02/08,20:45,Union SG,Beerschot,3,1,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 2,03/08,16:00,KV Malines,Westerlo,2,4,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/westerlo.png
Week 2,03/08,18:15,OH Louvain,KRC Genk,3,1,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 2,03/08,20:45,STVV,Charleroi,1,4,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 2,04/08,13:30,Antwerp,Anderlecht,1,2,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 2,04/08,16:00,Cercle de Bruges,KV Courtrai,1,2,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 2,04/08,18:30,Standard,FC Bruges,1,0,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
