,Unnamed: 0,Home Full-T Goals,Away Full-T Goals,Home Half-T Goals,Away Half-T Goals,Home Shots,Away Shots,Home Shots Target,Away Shots Target,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Full Result_enc,Half Result_enc,Home_avg5Goal,Away_avg5Goal,Home_avg10Goal,Away_avg10Goal,Home_avg20Goal,Away_avg20Goal,HomeTeamEnc,AwayTeamEnc
0,0,1.0,1.0,0.0,1.0,15.0,8.0,4.0,3.0,8.0,12.0,8.0,6.0,1.0,1.0,0.0,0.0,2,1.0,1.0,1.2,1.0,1.1,1.05,1.15,9,16
1,1,0.0,0.0,0.0,0.0,22.0,10.0,6.0,5.0,10.0,13.0,8.0,4.0,3.0,4.0,0.0,0.0,2,2.0,1.4,1.4,1.3,1.1,1.5,1.45,17,0
2,2,1.0,1.0,1.0,1.0,15.0,15.0,8.0,10.0,18.0,10.0,1.0,5.0,4.0,3.0,0.0,0.0,2,2.0,1.4,1.6,1.8,1.4,2.25,1.15,8,1
3,3,3.0,0.0,2.0,0.0,21.0,11.0,10.0,3.0,8.0,8.0,4.0,5.0,1.0,1.0,0.0,0.0,0,0.0,1.6,1.2,1.4,1.4,1.9,1.4,5,3
4,4,2.0,0.0,1.0,0.0,13.0,4.0,4.0,0.0,10.0,17.0,11.0,3.0,4.0,4.0,0.0,0.0,0,0.0,1.6,0.4,1.4,0.7,1.15,1.2,13,18
6,6,5.0,2.0,3.0,2.0,11.0,25.0,7.0,6.0,9.0,11.0,0.0,7.0,1.0,3.0,0.0,0.0,0,0.0,1.8,1.6,1.8,1.7,1.95,1.1,10,4
7,7,1.0,0.0,0.0,0.0,15.0,9.0,5.0,0.0,4.0,16.0,0.0,1.0,1.0,5.0,0.0,0.0,0,2.0,1.8,2.0,1.2,1.9,1.0,1.45,7,21
8,8,1.0,0.0,1.0,0.0,12.0,5.0,3.0,1.0,8.0,11.0,4.0,2.0,1.0,3.0,0.0,0.0,0,0.0,1.6,1.0,1.7,1.0,1.1,1.05,4,9
9,9,1.0,0.0,0.0,0.0,12.0,11.0,3.0,2.0,7.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0,0,2.0,0.4,1.2,0.7,0.9,1.2,1.2,18,2
10,10,0.0,0.0,0.0,0.0,5.0,13.0,0.0,2.0,11.0,11.0,3.0,8.0,2.0,3.0,1.0,0.0,2,2.0,1.2,1.4,1.1,1.3,1.15,1.5,16,17
12,12,0.0,1.0,0.0,1.0,19.0,13.0,4.0,4.0,9.0,11.0,14.0,2.0,2.0,2.0,0.0,0.0,1,1.0,1.6,1.8,1.4,1.8,1.15,1.95,1,10
13,13,1.0,1.0,1.0,1.0,15.0,13.0,3.0,6.0,12.0,14.0,7.0,6.0,3.0,2.0,0.0,0.0,2,2.0,2.0,1.6,1.9,1.4,1.45,1.15,21,13
14,14,4.0,1.0,3.0,1.0,15.0,15.0,8.0,8.0,14.0,14.0,7.0,5.0,2.0,1.0,0.0,0.0,0,0.0,1.4,2.0,1.8,1.9,2.25,1.45,8,21
15,15,1.0,0.0,0.0,0.0,21.0,6.0,8.0,0.0,9.0,13.0,13.0,0.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.4,1.0,0.7,1.05,1.2,9,18
16,16,1.0,1.0,1.0,1.0,12.0,11.0,6.0,5.0,11.0,13.0,6.0,4.0,3.0,2.0,1.0,0.0,2,2.0,1.6,1.2,1.4,1.4,1.15,1.4,13,3
17,17,1.0,0.0,0.0,0.0,14.0,13.0,5.0,3.0,14.0,13.0,7.0,8.0,1.0,4.0,0.0,1.0,0,2.0,1.6,1.6,1.4,1.4,1.9,1.15,5,1
18,18,1.0,3.0,1.0,2.0,22.0,12.0,9.0,8.0,12.0,12.0,9.0,8.0,1.0,2.0,0.0,0.0,1,1.0,1.8,1.4,1.8,1.1,1.95,1.45,10,0
20,20,3.0,4.0,1.0,3.0,15.0,11.0,7.0,6.0,7.0,12.0,6.0,3.0,3.0,1.0,0.0,1.0,1,1.0,1.2,1.8,0.9,1.2,1.2,1.0,2,7
21,21,1.0,0.0,0.0,0.0,18.0,6.0,4.0,1.0,14.0,19.0,5.0,4.0,1.0,4.0,0.0,0.0,0,2.0,1.4,1.6,1.3,1.7,1.5,1.1,17,4
22,22,4.0,1.0,3.0,1.0,22.0,4.0,8.0,3.0,8.0,12.0,8.0,1.0,2.0,2.0,0.0,0.0,0,0.0,1.2,1.2,1.4,0.9,1.4,1.2,3,2
23,23,1.0,0.0,0.0,0.0,17.0,7.0,5.0,0.0,14.0,6.0,4.0,3.0,3.0,1.0,0.0,0.0,0,2.0,1.6,1.4,1.7,1.8,1.1,2.25,4,8
24,24,6.0,1.0,2.0,0.0,11.0,15.0,8.0,7.0,4.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0,0.0,1.6,1.2,1.4,1.1,1.15,1.15,1,16
25,25,3.0,2.0,0.0,1.0,14.0,17.0,7.0,7.0,10.0,4.0,5.0,4.0,2.0,2.0,0.0,0.0,0,1.0,1.8,1.6,1.2,1.4,1.0,1.9,7,5
26,26,1.0,1.0,1.0,1.0,19.0,10.0,2.0,4.0,10.0,14.0,9.0,4.0,3.0,2.0,0.0,0.0,2,2.0,1.4,1.6,1.1,1.4,1.45,1.15,0,13
27,27,4.0,3.0,3.0,1.0,24.0,14.0,9.0,7.0,11.0,15.0,5.0,6.0,5.0,3.0,0.0,0.0,0,0.0,2.0,1.4,1.9,1.3,1.45,1.5,21,17
29,29,0.0,0.0,0.0,0.0,17.0,9.0,4.0,2.0,7.0,9.0,6.0,3.0,1.0,1.0,0.0,0.0,2,2.0,0.4,1.8,0.7,1.8,1.2,1.95,18,10
31,31,1.0,0.0,0.0,0.0,10.0,16.0,2.0,6.0,10.0,8.0,3.0,10.0,0.0,2.0,0.0,0.0,0,2.0,0.4,1.6,0.7,1.4,1.2,1.9,18,5
32,32,1.0,2.0,1.0,1.0,23.0,11.0,6.0,6.0,7.0,13.0,14.0,7.0,2.0,3.0,0.0,0.0,1,2.0,1.2,1.0,1.4,1.0,1.4,1.05,3,9
33,33,1.0,2.0,1.0,1.0,17.0,10.0,7.0,4.0,17.0,11.0,7.0,2.0,2.0,0.0,0.0,0.0,1,2.0,1.6,1.4,1.4,1.1,1.15,1.45,1,0
34,34,1.0,4.0,0.0,4.0,3.0,15.0,2.0,7.0,6.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,1,1.0,1.2,1.6,1.1,1.7,1.15,1.1,16,4
35,35,3.0,1.0,2.0,0.0,11.0,18.0,5.0,7.0,12.0,16.0,2.0,10.0,2.0,2.0,0.0,0.0,0,0.0,1.6,1.8,1.4,1.2,1.15,1.0,13,7
36,36,2.0,4.0,0.0,2.0,12.0,14.0,4.0,9.0,14.0,13.0,8.0,4.0,4.0,3.0,0.0,0.0,1,1.0,1.8,2.0,1.8,1.9,1.95,1.45,10,21
37,37,3.0,1.0,2.0,0.0,10.0,6.0,4.0,2.0,12.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0,0,0.0,1.4,1.2,1.3,0.9,1.5,1.2,17,2
38,38,3.0,0.0,1.0,0.0,10.0,12.0,6.0,4.0,9.0,12.0,6.0,7.0,0.0,1.0,0.0,0.0,0,0.0,2.0,1.2,1.9,1.4,1.45,1.4,21,3
39,39,0.0,1.0,0.0,1.0,12.0,12.0,5.0,4.0,15.0,7.0,5.0,6.0,5.0,2.0,0.0,0.0,1,1.0,1.6,1.6,1.7,1.4,1.1,1.15,4,1
40,40,0.0,1.0,0.0,0.0,15.0,8.0,5.0,2.0,10.0,7.0,8.0,4.0,2.0,2.0,0.0,0.0,1,2.0,1.0,1.4,1.0,1.8,1.05,2.25,9,8
41,41,0.0,0.0,0.0,0.0,21.0,4.0,3.0,1.0,12.0,14.0,10.0,1.0,0.0,4.0,0.0,0.0,2,2.0,1.8,0.4,1.2,0.7,1.0,1.2,7,18
42,42,1.0,0.0,0.0,0.0,11.0,2.0,3.0,0.0,8.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.4,1.2,1.1,1.1,1.45,1.15,0,16
43,43,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,15.0,15.0,2.0,6.0,2.0,1.0,0.0,0.0,2,2.0,1.2,1.6,0.9,1.4,1.2,1.15,2,13
45,45,1.0,1.0,0.0,0.0,28.0,5.0,7.0,2.0,14.0,8.0,7.0,2.0,1.0,2.0,0.0,0.0,2,2.0,1.6,1.8,1.4,1.8,1.9,1.95,5,10
46,46,0.0,1.0,0.0,0.0,10.0,13.0,4.0,5.0,20.0,12.0,4.0,2.0,5.0,2.0,0.0,0.0,1,2.0,1.8,1.4,1.2,1.8,1.0,2.25,7,8
47,47,3.0,1.0,0.0,1.0,21.0,15.0,5.0,5.0,8.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0,1.0,1.6,1.4,1.4,1.1,1.15,1.45,1,0
48,48,0.0,0.0,0.0,0.0,10.0,7.0,3.0,1.0,9.0,11.0,5.0,2.0,1.0,0.0,0.0,0.0,2,2.0,1.6,1.2,1.4,1.4,1.9,1.4,5,3
49,49,2.0,0.0,1.0,0.0,21.0,9.0,8.0,2.0,18.0,10.0,10.0,4.0,3.0,1.0,0.0,1.0,0,0.0,1.4,1.8,1.3,1.2,1.5,1.0,17,7
50,50,2.0,0.0,0.0,0.0,7.0,15.0,4.0,2.0,9.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0,2.0,1.4,1.2,1.8,1.1,2.25,1.15,8,16
51,51,3.0,2.0,2.0,0.0,20.0,7.0,9.0,4.0,8.0,6.0,9.0,4.0,2.0,0.0,0.0,0.0,0,0.0,1.8,0.4,1.8,0.7,1.95,1.2,10,18
52,52,1.0,2.0,0.0,2.0,10.0,21.0,3.0,7.0,11.0,11.0,1.0,6.0,4.0,5.0,2.0,0.0,1,1.0,1.6,2.0,1.4,1.9,1.15,1.45,13,21
53,53,1.0,0.0,1.0,0.0,9.0,16.0,3.0,6.0,10.0,13.0,2.0,8.0,3.0,1.0,0.0,0.0,0,0.0,1.8,1.6,1.2,1.4,1.0,1.15,7,1
54,54,0.0,1.0,0.0,1.0,13.0,14.0,4.0,2.0,10.0,10.0,4.0,4.0,1.0,3.0,0.0,0.0,1,1.0,1.4,1.6,1.1,1.4,1.45,1.9,0,5
55,55,1.0,2.0,1.0,1.0,9.0,14.0,3.0,5.0,17.0,18.0,5.0,5.0,3.0,3.0,0.0,0.0,1,2.0,1.2,1.4,1.4,1.3,1.4,1.5,3,17
56,56,1.0,4.0,1.0,1.0,9.0,18.0,2.0,6.0,11.0,6.0,5.0,11.0,1.0,0.0,0.0,0.0,1,2.0,0.4,1.4,0.7,1.8,1.2,2.25,18,8
57,57,0.0,2.0,0.0,1.0,10.0,17.0,2.0,7.0,8.0,10.0,10.0,5.0,0.0,1.0,0.0,0.0,1,1.0,2.0,1.8,1.9,1.8,1.45,1.95,21,10
58,58,1.0,1.0,0.0,0.0,9.0,9.0,3.0,3.0,10.0,12.0,2.0,1.0,2.0,0.0,0.0,0.0,2,2.0,1.2,1.6,1.1,1.4,1.15,1.15,16,13
59,59,2.0,2.0,0.0,0.0,24.0,17.0,4.0,6.0,7.0,14.0,8.0,3.0,1.0,2.0,0.0,0.0,2,2.0,1.6,1.4,1.4,1.3,1.9,1.5,5,17
60,60,1.0,2.0,0.0,2.0,16.0,13.0,4.0,5.0,9.0,13.0,6.0,2.0,1.0,2.0,0.0,0.0,1,1.0,1.6,1.2,1.4,1.4,1.15,1.4,1,3
61,61,2.0,1.0,2.0,1.0,11.0,7.0,5.0,3.0,9.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.2,1.8,1.1,1.8,1.15,1.95,16,10
62,62,0.0,1.0,0.0,1.0,12.0,8.0,2.0,4.0,10.0,12.0,10.0,1.0,2.0,3.0,0.0,0.0,1,1.0,1.4,1.6,1.8,1.4,2.25,1.15,8,13
63,63,2.0,1.0,1.0,0.0,17.0,19.0,4.0,3.0,5.0,14.0,4.0,3.0,1.0,2.0,0.0,0.0,0,0.0,1.4,1.8,1.1,1.2,1.45,1.0,0,7
64,64,3.0,1.0,2.0,0.0,12.0,9.0,8.0,4.0,11.0,8.0,5.0,5.0,0.0,1.0,0.0,0.0,0,0.0,1.6,1.0,1.7,1.0,1.1,1.05,4,9
65,65,2.0,0.0,0.0,0.0,12.0,18.0,4.0,7.0,11.0,13.0,2.0,7.0,0.0,1.0,0.0,0.0,0,2.0,0.8,1.6,0.6,1.1,0.5,1.05,6,14
66,66,1.0,0.0,1.0,0.0,18.0,10.0,4.0,2.0,15.0,12.0,7.0,3.0,4.0,3.0,0.0,1.0,0,0.0,1.0,0.8,1.0,0.6,1.05,0.5,9,6
67,67,0.0,0.0,0.0,0.0,19.0,12.0,8.0,9.0,12.0,8.0,8.0,3.0,4.0,1.0,0.0,0.0,2,2.0,1.4,1.4,1.3,1.1,1.5,1.45,17,0
68,68,3.0,1.0,0.0,1.0,16.0,8.0,7.0,1.0,10.0,14.0,4.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1.6,0.4,1.4,0.7,1.15,1.2,13,18
69,69,1.0,2.0,0.0,0.0,10.0,10.0,5.0,4.0,10.0,11.0,2.0,3.0,3.0,1.0,0.0,0.0,1,2.0,1.6,1.6,1.4,1.4,1.15,1.9,1,5
70,70,4.0,1.0,3.0,1.0,16.0,13.0,6.0,6.0,16.0,16.0,4.0,1.0,1.0,3.0,0.0,0.0,0,0.0,1.2,1.8,1.4,1.2,1.4,1.0,3,7
71,71,2.0,4.0,2.0,3.0,15.0,13.0,8.0,5.0,11.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0,1,1.0,1.8,1.4,1.8,1.8,1.95,2.25,10,8
72,72,1.0,3.0,0.0,3.0,14.0,12.0,6.0,5.0,8.0,9.0,4.0,5.0,0.0,1.0,0.0,0.0,1,1.0,1.6,1.6,1.1,1.7,1.05,1.1,14,4
73,73,2.0,2.0,1.0,1.0,19.0,8.0,6.0,4.0,4.0,11.0,6.0,4.0,2.0,2.0,0.0,0.0,2,2.0,2.0,1.2,1.9,1.1,1.45,1.15,21,16
74,74,0.0,1.0,0.0,1.0,15.0,10.0,4.0,3.0,13.0,10.0,6.0,5.0,2.0,2.0,0.0,0.0,1,1.0,1.6,1.0,1.1,1.0,1.05,1.05,14,9
75,75,4.0,1.0,2.0,1.0,14.0,3.0,10.0,2.0,14.0,9.0,3.0,2.0,2.0,4.0,0.0,0.0,0,0.0,1.4,1.6,1.3,1.4,1.5,1.15,17,1
76,76,1.0,1.0,0.0,1.0,18.0,9.0,4.0,5.0,9.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0,2,1.0,1.2,1.4,1.4,1.1,1.4,1.45,3,0
77,77,0.0,3.0,0.0,1.0,14.0,11.0,3.0,4.0,8.0,10.0,6.0,3.0,1.0,2.0,0.0,0.0,1,1.0,1.8,1.6,1.2,1.4,1.0,1.9,7,5
78,78,3.0,2.0,2.0,2.0,15.0,23.0,6.0,7.0,9.0,12.0,3.0,10.0,2.0,3.0,0.0,0.0,0,2.0,1.4,2.0,1.8,1.9,2.25,1.45,8,21
79,79,1.0,1.0,0.0,1.0,19.0,11.0,6.0,6.0,6.0,10.0,5.0,4.0,0.0,2.0,0.0,0.0,2,1.0,0.4,1.2,0.7,1.1,1.2,1.15,18,16
80,80,3.0,0.0,0.0,0.0,17.0,17.0,7.0,4.0,10.0,12.0,4.0,3.0,1.0,1.0,0.0,0.0,0,2.0,1.8,1.6,1.8,1.4,1.95,1.15,10,13
81,81,1.0,2.0,0.0,2.0,12.0,12.0,2.0,4.0,13.0,15.0,4.0,5.0,2.0,1.0,0.0,0.0,1,1.0,0.8,1.6,0.6,1.7,0.5,1.1,6,4
82,82,0.0,3.0,0.0,0.0,6.0,13.0,1.0,7.0,9.0,19.0,5.0,5.0,3.0,4.0,0.0,0.0,1,2.0,1.6,1.4,1.4,1.3,1.15,1.5,1,17
83,83,3.0,0.0,2.0,0.0,12.0,7.0,5.0,4.0,6.0,12.0,4.0,2.0,1.0,4.0,0.0,0.0,0,0.0,1.4,1.2,1.1,1.4,1.45,1.4,0,3
84,84,4.0,0.0,1.0,0.0,15.0,12.0,7.0,4.0,12.0,16.0,0.0,4.0,0.0,1.0,0.0,0.0,0,0.0,1.6,1.8,1.4,1.2,1.9,1.0,5,7
85,85,0.0,2.0,0.0,1.0,17.0,15.0,5.0,5.0,12.0,8.0,5.0,4.0,2.0,1.0,0.0,0.0,1,1.0,1.2,1.4,1.1,1.8,1.15,2.25,16,8
86,86,0.0,0.0,0.0,0.0,21.0,6.0,6.0,1.0,9.0,6.0,8.0,4.0,0.0,2.0,0.0,0.0,2,2.0,0.4,1.8,0.7,1.8,1.2,1.95,18,10
87,87,1.0,1.0,1.0,0.0,15.0,20.0,3.0,7.0,7.0,14.0,9.0,4.0,2.0,3.0,0.0,0.0,2,0.0,2.0,1.6,1.9,1.4,1.45,1.15,21,13
88,88,1.0,0.0,1.0,0.0,19.0,9.0,7.0,3.0,12.0,8.0,7.0,4.0,1.0,1.0,0.0,0.0,0,0.0,1.6,0.8,1.7,0.6,1.1,0.5,4,6
89,89,1.0,2.0,0.0,0.0,18.0,9.0,6.0,2.0,14.0,11.0,10.0,8.0,3.0,3.0,0.0,1.0,1,2.0,1.4,1.6,1.3,1.4,1.5,1.9,17,5
90,90,2.0,4.0,1.0,3.0,16.0,14.0,8.0,8.0,11.0,10.0,11.0,4.0,2.0,4.0,0.0,0.0,1,1.0,1.0,1.6,1.0,1.1,1.05,1.05,9,14
91,91,0.0,1.0,0.0,0.0,16.0,12.0,4.0,8.0,12.0,5.0,7.0,2.0,4.0,1.0,0.0,0.0,1,2.0,1.2,1.6,1.4,1.4,1.4,1.15,3,1
92,92,2.0,1.0,1.0,0.0,22.0,9.0,10.0,2.0,10.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,0,0.0,1.8,1.4,1.2,1.1,1.0,1.45,7,0
93,93,3.0,1.0,1.0,0.0,15.0,7.0,5.0,3.0,8.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,0,0.0,1.4,1.8,1.8,1.8,2.25,1.95,8,10
94,94,3.0,3.0,1.0,1.0,19.0,17.0,6.0,8.0,8.0,12.0,6.0,7.0,1.0,1.0,0.0,0.0,2,2.0,2.0,0.4,1.9,0.7,1.45,1.2,21,18
95,95,1.0,0.0,0.0,0.0,20.0,3.0,11.0,0.0,11.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0,0,2.0,1.6,1.2,1.4,1.1,1.15,1.15,13,16
96,96,2.0,1.0,2.0,1.0,12.0,16.0,3.0,6.0,8.0,6.0,0.0,6.0,2.0,2.0,0.0,0.0,0,0.0,1.6,1.4,1.4,1.8,1.15,2.25,13,8
97,97,2.0,1.0,1.0,0.0,7.0,15.0,5.0,5.0,10.0,16.0,6.0,6.0,4.0,3.0,1.0,0.0,0,0.0,1.4,1.4,1.1,1.3,1.45,1.5,0,17
98,98,1.0,2.0,1.0,0.0,9.0,12.0,2.0,5.0,11.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0,1,0.0,1.0,1.6,1.0,1.7,1.05,1.1,9,4
99,99,3.0,0.0,1.0,0.0,13.0,8.0,6.0,3.0,10.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0,0,0.0,1.6,1.6,1.4,1.4,1.9,1.15,5,1
100,100,1.0,1.0,1.0,0.0,13.0,10.0,5.0,2.0,7.0,16.0,6.0,5.0,0.0,4.0,0.0,1.0,2,0.0,1.8,1.2,1.2,1.4,1.0,1.4,7,3
